code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
601088,中国神华,煤炭开采,北京,6.7,164.91,198.9,5608.58,1762.18,2275.92,747.2,3.76,1.865,17.44,0.95,20071009,2267.98,11.4,-8.36,5.13,42.26,20.85,164571.0
600859,王府井,百货,北京,8.73,5.69,7.76,245.37,123.38,47.73,49.59,6.39,1.091,14.54,0.87,19940506,40.56,5.23,1.06,-14.33,21.11,4.37,28390.0
000966,长源电力,火力发电,湖北,6.89,11.08,11.08,97.59,18.16,61.52,9.52,0.86,0.446,3.59,1.14,20000316,16.42,1.48,16.52,191.7,17.65,8.99,46951.0
000825,太钢不锈,特种钢,山西,8.17,56.96,56.96,685.54,207.75,441.02,67.72,1.19,0.324,5.56,0.63,19981021,162.71,2.86,-3.17,-54.53,11.86,3.46,187174.0
600307,酒钢宏兴,普钢,甘肃,6.75,62.63,62.63,373.64,98.45,217.7,67.13,1.07,0.2,1.89,0.95,20001220,-25.62,-0.41,-0.89,16.7,11.62,3.49,265854.0
000531,穗恒运Ａ,火力发电,广东,9.16,6.85,6.85,94.09,24.73,30.52,8.61,1.26,0.505,5.88,1.05,19940106,20.8,3.04,-4.55,372.86,20.32,15.25,32135.0
600325,华发股份,区域地产,广东,6.21,21.08,21.17,2172.56,2033.95,6.77,9.94,0.47,0.8170000000000001,5.95,1.14,20040225,87.3,4.12,47.95,6.81,34.15,8.9,55433.0
000932,华菱钢铁,普钢,湖南,5.72,42.22,61.29,829.18,338.02,414.87,60.14,0.98,0.8,4.93,0.86,19990803,96.85,1.58,6.07,-42.37,13.3,4.15,95936.0
601918,新集能源,煤炭开采,安徽,2.96,25.91,25.91,301.57,29.11,144.31,19.29,0.74,0.747,2.83,1.04,20071219,13.25,0.51,6.33,113.28,41.82,27.02,159563.0
600153,建发股份,商贸代理,福建,9.48,28.35,28.35,2970.79,2700.28,18.17,24.3,0.86,0.644,9.87,0.82,19980616,214.49,7.57,14.78,6.24,4.63,0.87,85635.0
002110,三钢闽光,普钢,福建,5.38,22.04,24.52,277.46,146.16,97.61,50.44,2.06,1.1520000000000001,7.29,1.13,20070126,96.81,3.95,18.62,-45.45,15.39,8.88,63141.0
600036,招商银行,银行,深圳,8.71,206.29,252.2,73059.25,0.0,650.06,675.23,2.68,3.05,22.3,1.6,20020409,3262.57,12.94,10.36,14.63,0.0,37.18,295044.0
603878,武进不锈,钢加工,江苏,9.55,2.85,2.86,31.43,24.12,4.45,10.16,3.55,0.87,8.02,1.37,20161219,9.04,3.16,20.26,71.01,24.07,14.17,18717.0
600823,世茂股份,全国地产,上海,7.3,37.51,37.51,1154.52,766.51,16.45,7.78,0.21,0.41200000000000003,6.46,0.62,19940204,155.42,4.14,4.81,4.4,32.46,10.26,51436.0
603113,金能科技,化工原料,山东,8.38,3.32,6.76,70.13,28.57,22.9,17.84,2.64,0.877,8.07,1.21,20170511,27.11,4.01,-2.24,-35.74,14.62,9.55,35144.0
000921,海信家电,家用电器,广东,8.11,9.02,13.63,331.8,253.59,34.47,20.62,1.51,0.99,6.08,1.76,19990713,42.76,3.14,-6.24,17.62,20.41,4.99,30858.0
600997,开滦股份,煤炭开采,河北,5.84,15.88,15.88,259.88,125.09,99.07,25.67,1.62,0.637,7.05,0.7,20040602,55.8,3.51,1.8,2.04,15.62,6.43,62954.0
600297,广汇汽车,汽车服务,辽宁,9.07,81.1,81.6,1322.74,768.74,133.97,134.25,1.65,0.275,4.63,0.72,20001116,161.82,1.98,1.47,-28.76,10.09,1.84,37930.0
601077,渝农商行,银行,重庆,5.78,11.0,113.57,10341.92,0.0,46.02,118.98,1.05,0.76,7.64,0.77,20191029,323.17,2.85,0.0,0.0,0.0,43.16,419500.0
601298,青岛港,港口,山东,9.9,18.7,64.91,520.15,210.97,132.06,123.15,1.9,0.46,4.55,1.32,20190121,92.23,1.42,3.76,3.53,34.17,32.93,92071.0
