# Constructed from biom file					
OTU.ID	A	C	B	E	D
146890	0	4	6	1	1
4330489	1	0	0	0	0
4389971	0	0	0	0	0
104313	22	14	5	20	14
349986	3	2	2	7	7
100737	10	3	1	2	2
1104566	3	2	1	1	7
4377104	61	63	17	58	71
775409	1	0	0	0	0
807206	0	0	0	1	1
332042	0	0	0	1	0
214422	1	0	1	0	1
3950373	0	1	1	0	0
687574	0	0	0	4	0
69993	0	0	2	3	46
264748	0	0	0	0	1
1012668	0	0	0	1	0
136777	3	34	2	42	1
850572	21	4	0	0	2
4316720	0	0	0	0	1
813575	1	0	1	1	2
616682	0	0	0	3	0
1115299	0	1	0	0	0
1121503	1	1	0	0	1
3490231	0	0	0	0	4
552671	6	21	0	0	1
769292	1	0	0	0	0
232796	5	0	0	1	9
688365	1	1	0	0	4
733538	0	1	0	0	0
2727517	0	0	0	1	1
4349099	0	1	0	0	0
242156	8	11	196	12	57
370425	0	1	0	0	1
4444512	5125	4233	6253	2734	1872
16108	2	1	0	0	1
851350	0	0	1	0	0
1133759	1	0	0	0	1
4301491	1	1	4	5	0
766120	56	3	1	4	19
560779	1	0	0	0	1
2296710	0	0	0	0	1
669338	3	1	2	0	4
1131309	0	4	3	0	2
4305527	1	2	6	1	0
101466	2	1	18	4	8
275285	0	0	0	1	1
85367	0	2	0	2	1
231839	8	1	18	5	1
1110161	1	0	0	0	3
241078	0	0	0	1	1
222861	32	45	61	12	8
299268	1189	314	280	595	643
245124	1	0	9	6	6
4364217	3	0	0	0	2
3801733	2	2	0	0	4
814704	78	4	13	11	19
114396	11	7	7	21	22
934369	1	0	0	1	0
224499	0	0	0	1	0
1140993	12	10	4	19	9
1131964	1	0	1	1	1
674056	1	0	0	1	0
538998	45	41	2	40	50
360547	141	162	38	104	49
4369693	1	1	1	1	1
817574	112	24	104	135	243
3294232	118	16	10	79	59
918212	0	0	0	1	1
251136	9	5	2	16	8
4422766	1	0	0	0	0
743511	0	1	0	0	0
New.ReferenceOTU78	53	59	17	85	82
New.ReferenceOTU70	14	40	54	63	65
New.ReferenceOTU71	1	2	1	1	1
New.ReferenceOTU72	0	0	1	0	2
New.ReferenceOTU73	0	1	0	1	4
New.ReferenceOTU74	1	1	23	2	7
New.ReferenceOTU76	0	1	21	1	1
New.ReferenceOTU77	13	6	2	12	8
New.ReferenceOTU118	24	21	8	38	59
New.ReferenceOTU119	12	14	15	55	40
New.ReferenceOTU110	6	3	3	10	7
New.ReferenceOTU111	17	18	15	16	34
New.ReferenceOTU2	67	53	44	106	137
New.ReferenceOTU3	47	133	157	34	37
New.ReferenceOTU4	14	180	165	14	38
New.ReferenceOTU5	4	70	17	6	10
New.ReferenceOTU116	6	13	19	11	11
New.ReferenceOTU117	19	12	2	24	16
New.ReferenceOTU131	17	47	45	31	42
New.ReferenceOTU0	1	8	8	0	1
New.ReferenceOTU96	4	21	21	6	14
New.ReferenceOTU137	1	0	2	3	1
New.ReferenceOTU135	0	0	0	0	1
New.ReferenceOTU193	9	3	0	0	1
New.ReferenceOTU69	4	9	1	6	14
New.ReferenceOTU67	9	7	164	9	7
New.ReferenceOTU66	42	576	483	53	183
New.ReferenceOTU65	20	5	18	16	10
New.ReferenceOTU64	3	1	5	2	1
New.ReferenceOTU63	0	0	46	0	8
New.ReferenceOTU62	0	0	1	2	1
New.ReferenceOTU61	36	23	18	39	49
New.ReferenceOTU60	14	6	12	13	9
New.ReferenceOTU99	1	3	1	2	0
New.ReferenceOTU128	332	187	21	124	140
New.ReferenceOTU125	27	21	25	47	38
New.ReferenceOTU124	111	108	4752	142	653
New.ReferenceOTU127	6	2	2	2	4
New.ReferenceOTU126	9	20	9	23	15
New.ReferenceOTU194	79	55	17	85	36
New.ReferenceOTU120	6	2	0	10	8
New.ReferenceOTU123	183	120	57	57	275
New.ReferenceOTU122	2	0	0	1	1
New.ReferenceOTU171	6	5	2	13	20
New.ReferenceOTU18	0	1	0	0	0
New.ReferenceOTU19	1195	83	84	1208	779
New.ReferenceOTU12	13	171	143	16	32
New.ReferenceOTU13	4	5	1	2	5
New.ReferenceOTU10	7	10	5	11	22
New.ReferenceOTU11	34	32	2	18	24
New.ReferenceOTU16	2	0	0	11	7
New.ReferenceOTU17	13	18	31	55	43
New.ReferenceOTU14	3	0	2	13	4
New.ReferenceOTU15	0	1	0	1	0
New.ReferenceOTU115	0	0	0	3	0
New.ReferenceOTU160	0	1	0	0	0
New.ReferenceOTU132	2	11	5	16	6
New.ReferenceOTU133	300	190	140	328	355
New.ReferenceOTU130	194	145	36	249	239
New.ReferenceOTU91	6	8	6	4	2
New.ReferenceOTU136	2	2	7	6	12
New.ReferenceOTU97	8	9	4	8	8
New.ReferenceOTU94	2	0	0	1	2
New.ReferenceOTU95	33	60	63	93	82
New.ReferenceOTU138	3	1	0	20	3
New.ReferenceOTU139	12	167	145	14	28
New.ReferenceOTU8	2	1	2	10	5
New.ReferenceOTU90	2	1	0	2	8
New.ReferenceOTU92	98	115	37	99	87
New.ReferenceOTU45	43	4	1	36	12
New.ReferenceOTU191	4	7	2	1	1
New.ReferenceOTU47	14	11	5	28	15
New.ReferenceOTU81	273	238	24	343	187
New.ReferenceOTU146	3	3	0	5	1
New.ReferenceOTU145	8	52	27	5	15
New.ReferenceOTU144	12	3	5	6	10
New.ReferenceOTU85	4	12	30	8	2
New.ReferenceOTU142	16	2	17	3	1
New.ReferenceOTU141	2	13	27	22	4
New.ReferenceOTU1	9	9	3	14	21
New.ReferenceOTU89	5	5	0	8	10
New.ReferenceOTU88	0	0	54	2	1
New.ReferenceOTU166	0	2	0	0	0
New.ReferenceOTU149	0	3	3	1	4
New.ReferenceOTU113	0	0	2	0	0
New.ReferenceOTU38	2	25	18	4	4
New.ReferenceOTU39	3	3	4	3	5
New.ReferenceOTU34	1	1	5	2	1
New.ReferenceOTU35	0	0	2	1	4
New.ReferenceOTU36	15	217	96	17	28
New.ReferenceOTU37	1	4	2	1	3
New.ReferenceOTU30	25	13	28	18	23
New.ReferenceOTU31	0	0	1	0	0
New.ReferenceOTU32	268	99	39	18	60
New.ReferenceOTU33	0	2	0	5	1
New.ReferenceOTU6	8	13	34	15	247
New.ReferenceOTU7	0	0	9	1	1
New.ReferenceOTU154	4	0	0	4	5
New.ReferenceOTU155	0	1	2	1	2
New.ReferenceOTU156	5895	2792	1358	5908	8476
New.ReferenceOTU157	2	7	4	2	2
New.ReferenceOTU150	107	43	22	66	26
New.ReferenceOTU151	364	246	127	616	494
