ID	S1G	S2G	T1G	T2G
51773	1.29447	2.59155	2.01405	2.86913
56977	0.068566	0.137114	0.869832	0.971186
200316	3.24349	1.40863	2.63858	3.61656
129530	0.500992	0.470154	0.930862	0.746861
4337	0.764732	0.292135	2.3884	2.65253
5970	0.0117734	0.0150993	1.15183	2.76662
10018	0.859908	0.00102742	0.249337	0.500266
115123	0.561879	1.25152	1.60271	1.72634
225	0.0742676	0.0889861	0.133409	0.163762
26470	12.6235	35.8354	4.16136	7.54578
4802	0.875342	0.895168	1.02462	0.218034
253982	0.427987	5.67956	1.17632	1.35596
253980	2.1402	9.01658	3.43393	7.2887
1605	19.2909	13.4215	23.1306	34.5257
28976	9.43434	15.0725	12.7829	12.6334
572	42.5062	60.1263	54.8119	61.5682
165324	1.77117	1.82691	2.62809	2.56013
4296	21.5357	14.9201	34.9842	32.7485
3077	1.8581	0.959947	1.0296	1.68415
2109	130.934	66.0771	72.7307	69.0099
254102	9.11672	6.73147	10.9789	11.7444
26472	144.627	112.454	67.5962	84.8787
10534	27.3115	32.8304	37.9667	22.8385
64978	17.3988	18.5205	30.0263	29.3203
2286	142.374	121.91	132.448	107.349
344558	0.878271	0.88771	2.13005	2.53293
7423	48.3086	37.3525	41.3344	50.6062
2897	0	0	0.000275081	0.157286
100616378	179.193	263.474	206.071	212.767
55279	1.3731	2.22011	1.70595	1.89865
8545	6.8251	14.0451	9.22023	9.4715
54923	3.68652	10.2554	17.029	12.3793
196996	13.6585	0.092573	3.61861	2.72618
26249	0.475653	0.388759	1.07117	1.08317
286827	2.21727	1.23418	0.758961	1.1691
11037	0.135799	0.113013	0.715093	0.144499
9648	6.37858	4.58696	7.12043	8.72659
220359	0	0.36914	0.198411	0.108686
4118	0.27852	0.377502	3.13214	0.731174
29785	1.9773	5.1562	2.23484	1.1049
387787	1.81616	1.72087	1.51234	1.33463
51270	1.03387	0.168273	0.0273542	0.080764
10008	1.03546	1.4999	0.785232	1.26436
121275	0	0.0459226	0	0.046724
27068	0.098329	0.609327	1.02749	0.742519
27072	3.1624	3.49784	4.88658	4.65522
8637	24.3989	35.3155	34.8589	46.4807
9743	2.96946	5.89103	2.82828	3.46922
152002	4.40408	2.5088	3.79852	4.9883
79974	0.909251	1.30965	4.08062	5.1834
8658	3.17416	1.82376	3.21717	4.78515
2820	3.0363	3.50864	3.91792	4.02465
79660	9.92654	5.00878	7.63339	6.40758
5986	12.8851	10.2783	28.854	29.6283
10658	5.29289	4.56931	2.69287	5.00303
10910	3.50825	2.40918	2.58726	2.12695
81029	2.59063	0.415582	4.58649	7.56801
741	11.7652	7.27877	15.4682	16.2827
27284	2.8103	0	0	0
3728	85.0624	54.3485	117.651	127.643
9844	2.87246	4.27594	4.83106	4.71571
219833	0.930921	0.980099	0.794871	0.543189
10238	0.00197116	0.00195306	3.75282	0.00187135
125058	10.9779	4.69533	8.73612	12.5963
84733	3.31415	2.10574	1.294	1.53086
991	14.5465	7.69924	0.681228	2.26954
65003	1.45251	2.9353	3.75174	1.89023
83985	11.4447	13.479	12.5828	12.9244
55486	1.49063	3.01363	3.43107	2.46691
6169	331.433	776.625	476.874	696.88
6573	9.39318	1.4292	2.17488	2.70553
64759	21.8689	12.7155	9.92493	10.7434
3177	0.207263	0.146257	0.534181	0.398397
11041	5.53252	14.3808	18.2317	19.2187
3265	3.21798	15.2974	4.67267	6.90197
3872	16.1512	3.41603	644.753	228.221
26512	2.84278	2.28698	3.04139	2.04119
23613	0.0858534	0.502048	0.244949	0.661446
9610	2.17305	1.63112	5.27456	8.35418
57124	15.772	18.6829	46.2922	119.665
10007	5.35706	16.8469	7.82917	13.3647
124857	0.0243362	0	0.126219	0.102207
79102	10.5023	11.9386	17.5696	14.2164
64393	1.83133	3.35229	2.53629	3.69521
57474	1.12372	2.03395	0.932477	1.90792
